ID,Title,Pay,OT Pay,Other Pay,Benefits,Compensation,Employment
110532,Deputy Chief 3,129150.01,0,342802.63,38780.04,510732.68,PT
110533,Asst Med Examiner,318835.49,10712.95,60563.54,89540.23,479652.21,HOURLY
110534,Chief Investment Officer,257340,0,82313.7,96570.66,436224.36,PT
110535,Chief of Police,307450.04,0,19266.72,91302.46,418019.22,FT
110536,"Chief, Fire Department",302068,0,24165.44,91201.66,417435.1,FT
110537,Asst Med Examiner,270222.04,6009.22,67956.2,71580.48,415767.94,HOURLY
110538,Dept Head V,311298.55,0,0,89772.32,401070.87,FT
110539,Executive Contract Employee,310161.02,0,0,88823.51,398984.53,FT
110540,"Battalion Chief, Fire Suppress",179464.14,128685.99,27334.83,59876.9,395361.86,HOURLY
110541,Asst Chf of Dept (Fire Dept),201566.88,97907.38,29916.28,64599.59,393990.13,HOURLY
110542,"Gen Mgr, Public Trnsp Dept",294000.18,0,0,85918.54,379918.72,FT
110543,Senior Physician Specialist,198874.01,0,112776.35,62947.63,374597.99,FT
110544,Commander 3,184734.01,0,137409.09,51940.39,374083.49,PT
110545,Dep Chf of Dept (Fire Dept),260728.04,0,26761.8,82974.58,370464.42,FT
110546,"Battalion Chief, Fire Suppress",183333.82,100005.66,23760.13,61052.39,368152,HOURLY
110547,"Battalion Chief, Fire Suppress",177771.16,91547.61,36798.76,59664.91,365782.44,HOURLY
110548,"Administrator, DPH",282619.96,0,0,82941.18,365561.14,FT
110549,Dep Chf of Dept (Fire Dept),260728,0,22933.73,81886.55,365548.28,FT
110550,Dept Head V,279839.22,0,2164.54,82884.27,364888.03,FT
110551,Mayor,281537.17,0,0,83277.34,364814.51,FT
110552,Asst Chf of Dept (Fire Dept),207437.76,67712.84,20743.71,64549.5,360443.81,HOURLY
110553,Deputy Chief 3,268632.02,0,6192.08,80475.76,355299.86,FT
110554,Deputy Chief 3,268632,0,6192.08,80475.74,355299.82,FT
110555,Asst Chf of Dept (Fire Dept),207437.76,31868.28,49941.59,64549.5,353797.13,HOURLY
110556,Asst Med Examiner,233386.01,10794.09,40515,66559.68,351254.78,HOURLY
110557,Deputy Chief 3,265729.53,0,6134,78447.4,350310.93,FT
110558,"Adm, SFGH Medical Center",268946.02,0,0,80581.73,349527.75,FT
110559,Dept Head V,267914.01,0,0,80361.22,348275.23,FT
110560,Dept Head V,267914,0,0,79799.88,347713.88,FT
110561,Controller,267914,0,0,79799.88,347713.88,FT
110562,Dept Head V,267914,0,0,79799.88,347713.88,FT
110563,Asst Chf of Dept (Fire Dept),207437.76,38112.52,30767.56,66496.48,342814.32,HOURLY
110564,Deputy Chief 3,258957,0,6908.64,76330.35,342195.99,FT
110565,"Battalion Chief, Fire Suppress",177771.08,62671.16,39322.25,62074.06,341838.55,HOURLY
110566,"Battalion Chief, Fire Suppress",179464.2,62653.15,35768.93,60237.67,338123.95,HOURLY
110567,"Battalion Chief, Fire Suppress",179464.21,71337.03,26022.22,59815.78,336639.24,HOURLY
110568,Anesthetist,241036.02,1695.66,15839.3,73815.54,332386.52,HOURLY
110569,Dep Dir V,254578.48,0,0,77512.96,332091.44,FT
110570,Deputy Chief 3,243339.02,0,16225.16,72403.46,331967.64,FT
110571,"Battalion Chief, Fire Suppress",179464.2,62908.09,29118.6,58781.34,330272.23,FT
110572,Port Director,250850.01,0,1299,76998.29,329147.3,FT
110573,"Manager, Dept Public Health",221021.52,0,37655.02,68525.04,327201.58,FT
110574,"Battalion Chief, Fire Suppress",177722.49,59117.49,29645.29,59909.13,326394.4,HOURLY
110575,Deputy Sheriff,94191.04,173547.73,19740.81,38238.57,325718.15,HOURLY
110576,"Battalion Chief, Fire Suppress",179464.18,57508.99,27464.43,60118.56,324556.16,HOURLY
110577,Assistant Deputy Chief 2,230386,0,19119.88,75049.76,324555.64,FT
110578,Deputy Sheriff,94191.13,173178.23,17960.11,38171.49,323500.96,HOURLY
110579,"Battalion Chief, Fire Suppress",179464.21,53735.26,29297.88,59815.79,322313.14,HOURLY
110580,Anesthetist,223381.19,8899.74,20532.92,69382.27,322196.12,HOURLY
110581,"Battalion Chief, Fire Suppress",179464.21,51397.87,29733.03,60621.58,321216.69,FT
110582,"Deputy Dir II, MTA",243005,0,0,77471.05,320476.05,FT
110583,Firefighter,111640.49,145867.35,18987.57,42998.81,319494.22,FT
110584,Deputy Sheriff,94191,169659.92,16813.46,38311.07,318975.45,FT
110585,Emergency Medical Svcs Chief,230386.02,0,13823.16,74088.33,318297.51,FT
110586,Manager VIII,240008.92,0,0,76801.17,316810.09,FT
110587,Asst Chf of Dept (Fire Dept),207437.76,28548.77,16501.3,63525.04,316012.87,FT
110588,"Battalion Chief, Fire Suppress",177771.17,53193.8,25776.7,59261.88,316003.55,FT
110589,Anesthetist,233775.01,995.41,9745.87,70703.83,315220.12,FT
110590,District Attorney,248767.06,0,0,65845.03,314612.09,FT
110591,"Battalion Chief, Fire Suppress",179464.19,51281.47,24321.23,59323.32,314390.21,FT
110592,Inspector 3,119407.5,12378.41,145795.86,36436.4,314018.17,PT
110593,"Battalion Chief, Fire Suppress",227252.87,2742.76,18620.41,65337.63,313953.67,FT
110594,Firefighter,112703.73,134077.58,23626.96,43240.04,313648.31,FT
110595,Captain 3,87324,0,199112.35,24960.45,311396.8,PT
110596,Senior Physician Specialist,205331.77,0,41434.76,64305.43,311071.96,FT
110597,Executive Contract Employee,246928.4,0,0,63923.67,310852.07,FT
110598,"Captain, Fire Suppression",230386.03,0,14512.16,64814.42,309712.61,FT
110599,Manager VIII,226821.67,0,14569.23,68016.9,309407.8,FT
110600,Nursing Supervisor,199104,0,47099.71,62967.21,309170.92,FT
110601,"Battalion Chief, Fire Suppress",179464.22,39232.6,31782.54,58678.04,309157.4,FT
110602,"Lieut,Fire Prev",230386.01,0,13823.16,64939.79,309148.96,FT
110603,Dep Dir V,235462.09,0,0,73614.57,309076.66,FT
110604,Nursing Supervisor,205280.01,0,37590.2,65716.83,308587.04,FT
110605,"Battalion Chief, Fire Suppress",177771.13,40640.32,30613.76,58498.47,307523.68,FT
110606,"Battalion Chief, Fire Suppress",179464.2,42739,25082.63,59634.58,306920.41,FT
110607,Nursing Supervisor,205280,0,37590.2,62671.31,305541.51,FT
110608,Dept Head IV,232489.33,0,0,72233.72,304723.05,FT
110609,Firefighter,111640.48,127698.35,21604.79,43610.42,304554.04,FT
110610,City Attorney,231523.83,0,0,72593.84,304117.67,FT
110611,EMT/Paramedic/Firefighter,129037.14,111884.75,16129.63,47012.64,304064.16,FT
110612,"Battalion Chief, Fire Suppress",179464.22,50039.97,16160.22,57811.77,303476.18,FT
110613,"Battalion Chief, Fire Suppress",179464.22,37039.89,26894.45,59996.26,303394.82,FT
110614,Manager VIII,231435.01,0,0,71499.66,302934.67,FT
110615,Anesthetist,213558.05,3773.32,18588.58,66844.67,302764.62,PT
