Platform,Year_of_Release,Global_players
2600,1980.0,11.379999999999999
2600,1981.0,35.77
2600,1982.0,28.86
2600,1983.0,5.83
2600,1984.0,0.27
2600,1985.0,0.45
2600,1986.0,0.6599999999999999
2600,1987.0,1.98
2600,1988.0,0.75
2600,1989.0,0.62
3DO,1994.0,0.02
3DO,1995.0,0.08
3DS,2011.0,63.17
3DS,2012.0,51.36
3DS,2013.0,56.64
3DS,2014.0,43.8
3DS,2015.0,27.81
3DS,2016.0,15.14
DC,1998.0,3.39
DC,1999.0,5.17
DC,2000.0,5.99
DC,2001.0,1.07
DC,2002.0,0.29
DC,2007.0,0.02
DC,2008.0,0.04
DS,1985.0,0.02
DS,2004.0,17.27
DS,2005.0,130.22
DS,2006.0,119.92
DS,2007.0,147.26
DS,2008.0,145.45
DS,2009.0,119.46
DS,2010.0,84.98
DS,2011.0,26.26
DS,2012.0,11.06
DS,2013.0,1.54
DS,2020.0,0.29
GB,1988.0,1.43
GB,1989.0,64.98
GB,1990.0,4.89
GB,1991.0,5.57
GB,1992.0,25.48
GB,1994.0,12.17
GB,1995.0,3.5999999999999996
GB,1996.0,36.02
GB,1997.0,6.37
GB,1998.0,26.900000000000002
GB,1999.0,38.01
GB,2000.0,19.76
GB,2001.0,9.24
GBA,2000.0,0.06
GBA,2001.0,61.62
GBA,2002.0,74.38
GBA,2003.0,56.730000000000004
GBA,2004.0,78.09
GBA,2005.0,33.9
GBA,2006.0,5.35
GBA,2007.0,3.43
GC,2001.0,26.3
GC,2002.0,51.93
GC,2003.0,50.660000000000004
GC,2004.0,28.89
GC,2005.0,27.8
GC,2006.0,11.290000000000001
GC,2007.0,0.27
GEN,1990.0,2.6
GEN,1991.0,4.34
GEN,1992.0,12.66
GEN,1993.0,3.0700000000000003
GEN,1994.0,8.11
GG,1992.0,0.04
N64,1996.0,34.11
N64,1997.0,39.51
N64,1998.0,49.28
N64,1999.0,57.96
N64,2000.0,34.01
N64,2001.0,3.26
N64,2002.0,0.08
NES,1983.0,10.96
NES,1984.0,50.089999999999996
NES,1985.0,53.440000000000005
NES,1986.0,36.41
NES,1987.0,19.759999999999998
NES,1988.0,45.01
NES,1989.0,7.85
NES,1990.0,15.74
NES,1991.0,6.11
NES,1992.0,1.9800000000000002
NES,1993.0,3.61
NES,1994.0,0.11
NG,1993.0,0.21000000000000002
NG,1994.0,0.8
NG,1995.0,0.33
NG,1996.0,0.1
PC,1985.0,0.03
PC,1988.0,0.03
PC,1992.0,3.0300000000000002
PC,1994.0,12.86
PC,1995.0,4.2299999999999995
PC,1996.0,10.59
PC,1997.0,11.26
PC,1998.0,3.2600000000000002
PC,1999.0,4.73
PC,2000.0,4.680000000000001
PC,2001.0,5.510000000000001
PC,2002.0,8.59
PC,2003.0,8.91
PC,2004.0,10.41
PC,2005.0,4.41
PC,2006.0,2.91
PC,2007.0,9.33
PC,2008.0,12.59
PC,2009.0,16.94
PC,2010.0,24.36
PC,2011.0,35.1
PC,2012.0,23.28
PC,2013.0,12.4
PC,2014.0,13.3
PC,2015.0,8.55
PC,2016.0,5.2700000000000005
PCFX,1996.0,0.03
PS,1994.0,6.0200000000000005
PS,1995.0,35.92
PS,1996.0,94.68
PS,1997.0,136.08
PS,1998.0,169.58
PS,1999.0,144.57
PS,2000.0,96.3
PS,2001.0,35.52
PS,2002.0,6.6899999999999995
PS,2003.0,2.05
PS2,2000.0,39.11
PS2,2001.0,166.43
PS2,2002.0,205.4
PS2,2003.0,184.29
PS2,2004.0,211.78
PS2,2005.0,160.65
PS2,2006.0,103.42
PS2,2007.0,76.0
PS2,2008.0,53.83
PS2,2009.0,26.45
PS2,2010.0,5.63
PS2,2011.0,0.47000000000000003
PS3,2006.0,20.95
PS3,2007.0,73.14
PS3,2008.0,118.48
