name,positive_ratings
A Valley Without Wind,272
A.I.M. Racing,54
APB Reloaded,20028
Age of Conan: Unchained,874
AirMech Strike,7640
Alien Swarm,17435
Altitude,1540
America's Army 3,1515
America's Army: Proving Grounds,6413
ArcheBlade™,5642
Atooms to Moolecules Demo,9
Avernum 4,55
Awesomenauts - the 2D moba,20770
BRAINPIPE: A Plunge to Unhumanity,126
BRINK,3493
Batman™: Arkham Origins,20365
Bloodline Champions,1365
Bone: Out From Boneville,78
Bone: The Great Cow Race,44
Breath of Death VII,994
Champions Online,2081
Closers,2061
Company of Heroes - Legacy Edition,4772
Continent of the Ninth Seal,892
Counter-Strike: Global Offensive,2644404
Cthulhu Saves the World,2868
DC Universe™ Online,10138
DOOM 3,2633
Data Jammers: FastForward,54
Delta Force — Black Hawk Down: Team Sabre,167
Delta Force: Black Hawk Down,258
Dogs of War Online,447
Dota 2,863507
Dungeon-Party,154
Dungeons & Dragons Online®,1718
Dwarfs - F2P,1327
EVE Online,8317
Empires Mod,663
Endless Space® - Collection,5708
Eschalon: Book I,167
EverQuest,598
EverQuest II,846
Fallen Earth Free2Play,3938
Gear Up,6383
Geneforge 1,268
Geneforge 2,32
Geneforge 3,26
Geneforge 4: Rebellion,24
Geneforge 5: Overthrow,60
Gotham City Impostors Free to Play,9269
Gothic 1,3396
Grand Theft Auto,199
Grand Theft Auto 2,184
Gumboy - Crazy Adventures™,52
Half-Life 2: Lost Coast,5783
Half-Life Deathmatch: Source,1362
Half-Life: Source,3767
Magic: The Gathering - Duels of the Planeswalkers 2012,705
MapleStory,3629
Master Levels for Doom II,310
Medieval II: Total War™ Kingdoms,585
Memoir '44 Online,177
Moonbase Alpha,9867
Neverwinter,18517
Peggle Extreme,707
Penumbra Overture,1660
Penumbra: Black Plague Gold Edition,1396
"Pirates, Vikings, and Knights II",3839
PlanetSide 2,35968
Pox Nora,384
ProtoGalaxy,30
Puzzle Pirates,961
RIFT,6885
RaceRoom Racing Experience,5204
Realm of the Mad God,23414
Revelations 2012,188
Secret World Legends,4420
Sherlock Holmes: The Mystery of the Mummy,59
Sonic Generations Collection,6921
Source Filmmaker,15083
Spiral Knights,15666
Star Conflict,8647
Star Trek Online,7639
Stronghold 3 Gold,971
Stronghold Kingdoms,4886
Super Crate Box,5951
Team Fortress 2,515879
The Banner Saga: Factions,569
The Cat and the Coup,823
The Lord of the Rings Online™,6860
The Ship: Murder Party,4819
Total War: MEDIEVAL II – Definitive Edition,10270
Total War: NAPOLEON – Definitive Edition,8540
TrackMania Nations Forever,8252
Tribes: Ascend,6470
Vindictus,3646
WAKFU,4413
Winter Voices,139
Zen of Sudoku,122
Zombie Panic! Source,5267
